Timestamp,Sensor_ID,Pressure (bar),Flow Rate (L/s),Temperature (°C),Leak Status,Burst Status,Risk_Level
01-01-2024 00:00,S008,4.495406971,212.671373981,24.046551148,0,0,High
01-01-2024 00:05,S005,3.739163853,215.444199497,10.380269936,0,0,Low
01-01-2024 00:10,S001,2.737732741,78.14134328,12.897108907,1,1,Low
01-01-2024 00:15,S004,4.060800986,130.099644412,12.72753449,0,1,Low
01-01-2024 00:20,S002,2.239050393,134.05914693,24.152694184,1,0,Low
01-01-2024 00:25,S005,4.489940058,114.096791613,14.117858349,0,0,Low
01-01-2024 00:30,S008,3.318049572,146.402904806,11.512531306,1,0,Low
01-01-2024 00:35,S005,4.332586251,106.217135067,28.402687229,1,1,Medium
01-01-2024 00:40,S006,3.658803698,151.699937216,22.172234619,0,0,Low
01-01-2024 00:45,S006,3.742556038,200.89718043,29.088270656,0,1,Medium
01-01-2024 00:50,S002,2.839036938,159.3869414,17.934206986,1,0,Low
01-01-2024 00:55,S008,2.46269941,114.039890813,24.646180531,0,1,Low
01-01-2024 01:00,S008,3.34668454,129.041640296,12.408772679,0,1,Low
01-01-2024 01:05,S008,4.469277134,164.681740496,13.571938577,0,1,Low
01-01-2024 01:10,S005,3.207877231,156.669246504,23.436080166,0,1,Low
01-01-2024 01:15,S001,3.19139986,167.413075685,26.460139339,1,1,Low
01-01-2024 01:20,S010,2.314981189,171.167263628,29.677809197,0,0,Medium
01-01-2024 01:25,S003,3.766074693,130.014969224,24.176649263,0,1,Low
01-01-2024 01:30,S002,3.821361649,114.589978946,15.130728148,1,0,Medium
01-01-2024 01:35,S009,4.443015848,86.718863977,29.287754675,1,1,Medium
01-01-2024 01:40,S007,2.447987538,133.935686239,18.007673509,1,1,Low
01-01-2024 01:45,S004,2.339837965,204.063723631,29.090863053,0,1,Medium
01-01-2024 01:50,S005,2.124708222,112.217494831,21.116833023,0,0,Low
01-01-2024 01:55,S004,2.609372783,180.834446585,13.20849614,0,0,Low
01-01-2024 02:00,S005,2.644471436,55.21930608,25.678622209,1,1,Low
01-01-2024 02:05,S007,4.487074786,99.891046363,26.968653443,1,1,Medium
01-01-2024 02:10,S007,4.429728218,89.806823823,18.54581661,0,1,Low
01-01-2024 02:15,S001,3.884830862,86.70951409,29.262092111,1,0,Medium
01-01-2024 02:20,S002,4.230151253,64.607782501,18.538886092,1,1,Medium
01-01-2024 02:25,S010,4.244198109,204.269305078,17.732843479,0,0,High
01-01-2024 02:30,S005,3.126496464,163.884362047,12.392603273,1,0,Low
01-01-2024 02:35,S006,2.473653075,179.757852741,24.56658698,1,0,Low
01-01-2024 02:40,S005,3.973916863,64.827497323,20.634529349,1,0,Medium
01-01-2024 02:45,S010,3.904566225,154.345721028,23.226466986,1,1,Medium
01-01-2024 02:50,S003,3.637245651,142.836992628,15.312635223,1,1,Medium
01-01-2024 02:55,S007,2.757463042,82.756044963,14.201606489,1,1,Low
01-01-2024 03:00,S006,3.296083611,111.202777317,21.836191957,0,1,Low
01-01-2024 03:05,S002,3.554955282,142.788598204,26.528395281,0,0,Low
01-01-2024 03:10,S007,2.372666476,100.58867132,14.486910171,0,0,Low
01-01-2024 03:15,S007,4.408133675,193.801537458,16.801781938,0,0,High
01-01-2024 03:20,S010,2.271934013,179.290903629,13.513481281,0,0,Low
01-01-2024 03:25,S008,2.999452688,78.053161685,17.835514493,0,0,Low
01-01-2024 03:30,S006,4.424365959,178.177624357,12.650742855,1,0,Medium
01-01-2024 03:35,S009,2.714459883,183.334768143,25.653414564,1,0,Low
01-01-2024 03:40,S009,4.005304624,59.016511536,28.431706249,0,0,Medium
01-01-2024 03:45,S006,3.445961314,152.286598906,17.216744589,1,0,Low
01-01-2024 03:50,S002,2.916009462,69.595598377,20.198642189,1,0,Low
01-01-2024 03:55,S005,3.998224196,75.848572581,13.888849885,1,1,Medium
01-01-2024 04:00,S001,4.210182158,170.40253987,14.933717292,1,0,Medium
01-01-2024 04:05,S005,3.160820153,208.48137216,15.891675766,1,0,Low
01-01-2024 04:10,S008,3.808375285,76.471257837,12.469238341,1,0,Medium
01-01-2024 04:15,S004,4.05551693,146.506137466,10.784182694,0,0,Low
01-01-2024 04:20,S008,3.518726601,74.53653089,12.696570402,0,0,Low
01-01-2024 04:25,S008,2.208046405,107.849056534,28.805578254,0,1,Medium
01-01-2024 04:30,S004,2.069006935,192.069201231,25.706899371,0,0,Low
01-01-2024 04:35,S008,3.760277584,188.423811465,14.868939438,0,0,Low
01-01-2024 04:40,S004,2.733680677,208.951783575,11.644298222,0,0,Low
01-01-2024 04:45,S008,2.473604595,100.203783877,25.29474862,0,0,Low
01-01-2024 04:50,S007,4.29703362,81.802331186,23.957987113,1,1,Medium
01-01-2024 04:55,S008,3.443372581,208.769574101,11.464821091,1,1,Low
01-01-2024 05:00,S002,3.11615069,211.154056175,12.249503236,0,1,Low
01-01-2024 05:05,S008,3.666233906,157.758849048,26.581797811,1,1,Medium
01-01-2024 05:10,S001,4.473531055,202.79843787,24.637551996,0,1,High
01-01-2024 05:15,S009,2.448723884,184.135894682,12.258075498,1,0,Low
01-01-2024 05:20,S008,3.88981461,76.725926617,14.228622044,0,0,Low
01-01-2024 05:25,S009,4.255519777,125.725851988,17.251065671,1,0,Medium
01-01-2024 05:30,S010,4.318108814,145.838648872,11.410324259,0,1,Low
01-01-2024 05:35,S005,2.583190219,110.254170012,29.191543163,1,0,Medium
01-01-2024 05:40,S006,3.326721328,65.239821237,22.131465408,1,0,Low
01-01-2024 05:45,S004,2.257441672,53.750758061,12.858056612,1,0,Low
01-01-2024 05:50,S005,4.076293617,53.70784066,19.024812299,1,0,Medium
01-01-2024 05:55,S001,2.468771109,55.896607296,24.043303291,1,0,Low
01-01-2024 06:00,S006,2.69355258,87.271167726,28.162893351,1,1,Medium
01-01-2024 06:05,S006,4.332006341,184.557776297,19.742650937,1,1,High
01-01-2024 06:10,S009,3.152148056,199.198281684,24.486434825,1,0,Low
01-01-2024 06:15,S007,3.658455845,130.990544768,28.376497441,0,1,Medium
01-01-2024 06:20,S003,2.830845773,100.856548931,10.822587195,0,1,Low
01-01-2024 06:25,S008,3.166601348,55.111912824,10.461098662,0,1,Low
01-01-2024 06:30,S008,2.270403351,69.153617478,16.739485989,1,0,Low
01-01-2024 06:35,S008,3.614007243,93.514020982,15.196390469,1,1,Medium
01-01-2024 06:40,S009,3.504054078,145.538953174,13.67132673,1,0,Medium
01-01-2024 06:45,S009,2.018384874,176.268272096,22.067582975,1,1,Low
01-01-2024 06:50,S004,4.179820806,148.185515853,20.805750994,0,1,Low
01-01-2024 06:55,S007,2.657863055,118.626373545,24.310882388,1,1,Low
01-01-2024 07:00,S003,3.32375328,162.515882683,16.07776652,0,1,Low
01-01-2024 07:05,S002,2.44199565,116.006039327,19.693822651,0,0,Low
01-01-2024 07:10,S004,4.029601083,209.592782553,12.32706544,0,0,Low
01-01-2024 07:15,S010,3.601687079,90.735176549,16.739516743,1,0,Medium
01-01-2024 07:20,S006,3.330220407,54.382127482,24.51263275,1,0,Low
01-01-2024 07:25,S007,2.470973909,78.789241369,21.089219723,1,1,Low
01-01-2024 07:30,S003,3.055221119,153.050198917,17.325591929,0,1,Low
01-01-2024 07:35,S003,4.134219477,72.077358489,28.688819956,0,0,Medium
01-01-2024 07:40,S009,2.847778502,89.952529761,21.275638901,0,1,Low
01-01-2024 07:45,S006,4.339893115,156.167130391,22.592413664,0,1,Low
01-01-2024 07:50,S004,2.11681068,92.759732071,17.968523595,1,0,Low
01-01-2024 07:55,S001,3.049482976,162.151293561,21.954222018,0,0,Low
01-01-2024 08:00,S008,2.622020318,69.077607723,14.41653202,0,1,Low
01-01-2024 08:05,S003,4.278210258,116.649288821,14.072218531,1,0,Medium
01-01-2024 08:10,S004,4.21919455,211.931457572,10.839444677,1,1,High
01-01-2024 08:15,S007,3.796125734,135.809136666,14.665918916,1,1,Medium
01-01-2024 08:20,S005,3.791321089,70.924619881,21.992089038,0,0,Low
01-01-2024 08:25,S002,4.247936295,190.817601254,27.525723305,1,1,High
01-01-2024 08:30,S010,2.113729138,53.854540026,19.64282911,1,1,Low
01-01-2024 08:35,S001,4.203006353,114.683989877,17.03488002,1,0,Medium
01-01-2024 08:40,S009,2.780160579,123.872429512,10.285636654,1,1,Low
01-01-2024 08:45,S001,3.941542212,81.688252875,10.721380905,1,0,Medium
01-01-2024 08:50,S009,3.38659492,140.653611189,13.023841649,1,1,Low
